report_id,date,source,category,priority,report_text,classification,confidence_score
RPT0020,2024-12-05,OSINT,Business,LOW,Tech company InfoTech Solutions Pvt Ltd announced expansion plans in Delhi. Will create 2000 new jobs in next fiscal year. CEO Priya Malhotra addressed shareholders at annual meeting.,UNCLASSIFIED,78
RPT0043,2024-11-01,Social Media,Health,LOW,New hospital facility inaugurated in Ahmedabad with 500 bed capacity. Equipped with modern medical equipment. India Business Council provided partial funding for the healthcare initiative.,UNCLASSIFIED,78
RPT0154,2024-12-13,Informant,Terror Financing,HIGH,Hawala transactions worth 2 crore traced to Al-Barkat Money Exchange. Financial trail leads to accounts linked with Lashkar Network Kashmir Unit. Tariq Mahmood identified as key facilitator. Kashmir Hawala Network under active monitoring.,SECRET,86
RPT0079,2024-12-13,OSINT,Education,LOW,CBSE announces board exam dates for 2025. Over 2 million students expected to appear nationwide. Education Minister Meena Desai released official notification from Kolkata.,UNCLASSIFIED,88
RPT0146,2024-11-30,Cyber Intel,Environmental,MEDIUM,Illegal construction activity reported near protected forest area in Lucknow. Forest department investigating the matter. Kashmir Hawala Network suspected of financing unauthorized construction.,RESTRICTED,69
RPT0016,2024-10-09,Field Report,Entertainment,LOW,Bollywood production house announced shooting schedule at Lucknow. Film directed by renowned filmmaker expected to release next year. Mumbai Chamber of Commerce supporting local film initiatives.,UNCLASSIFIED,81
RPT0025,2024-11-03,Social Media,Sports,LOW,Cricket match between India and New Zealand scheduled at Bangalore. Expected crowd of 50000 spectators. Security arrangements finalized by local police. Sports coordinator Vikas Kohli overseeing preparations.,UNCLASSIFIED,78
RPT0069,2024-11-01,Field Report,Technology,LOW,IIT Delhi researchers develop new AI algorithm for agricultural prediction. Paper published in international journal. Research funded by Digital Innovation Labs in partnership with Tech Dynamics Corporation.,UNCLASSIFIED,92
RPT0114,2024-10-31,Media Monitoring,Accidents,MEDIUM,"Gas leak reported at industrial facility in Kolkata. 15 workers hospitalized, area evacuated as precautionary measure. Gujarat Maritime Solutions facility under investigation. Northeast Logistics Services transport suspended temporarily.",RESTRICTED,78
RPT0119,2024-10-09,Tip-off,Public Gathering,MEDIUM,Religious congregation expected to draw 10000 people in Northeast Region. Police deploying additional personnel for crowd management. Student Democratic Front organizing peaceful participation.,RESTRICTED,60
RPT0094,2024-11-29,Social Media,Business,LOW,Tech company InfoTech Solutions Pvt Ltd announced expansion plans in Jaipur. Will create 2000 new jobs in next fiscal year. CEO Priya Malhotra addressed shareholders at annual meeting.,UNCLASSIFIED,94
RPT0160,2024-12-05,Informant,Weapon Smuggling,HIGH,Truck intercepted at Mumbai checkpoint carrying illegal firearms. Driver admits weapons meant for Hizbul Mujahideen Operative Cell. Khalid Arms Syndicate involvement confirmed. Golden Triangle Connection providing funding.,SECRET,83
RPT0070,2024-10-20,Media Monitoring,Education,LOW,CBSE announces board exam dates for 2025. Over 2 million students expected to appear nationwide. Education Minister Meena Desai released official notification from Bangalore.,UNCLASSIFIED,88
RPT0143,2024-11-09,Media Monitoring,Labor Dispute,MEDIUM,Workers at manufacturing facility in Delhi staging strike over wage disputes. Management in negotiations with union representatives. Al-Barkat Money Exchange handling worker remittances under scrutiny.,RESTRICTED,84
RPT0046,2024-11-18,Field Report,Business,LOW,Tech company InfoTech Solutions Pvt Ltd announced expansion plans in Pune. Will create 2000 new jobs in next fiscal year. CEO Priya Malhotra addressed shareholders at annual meeting.,UNCLASSIFIED,89
RPT0017,2024-11-20,Media Monitoring,Health,LOW,New hospital facility inaugurated in Ahmedabad with 500 bed capacity. Equipped with modern medical equipment. India Business Council provided partial funding for the healthcare initiative.,UNCLASSIFIED,83
RPT0052,2024-12-12,Social Media,Politics,LOW,Chief Minister Rajesh Mehta inaugurated new metro line in Lucknow. Project worth 5000 crore rupees completed ahead of schedule. Infrastructure Minister Sunita Kapoor was also present at the ceremony.,UNCLASSIFIED,76
RPT0126,2024-11-13,Social Media,Cyber Incident,MEDIUM,Government website faced temporary outage in Jaipur due to technical glitch. Services restored within 2 hours. Youth Rights Collective claiming denial of service but investigation ongoing.,RESTRICTED,77
RPT0097,2024-11-05,Media Monitoring,Technology,LOW,IIT Ahmedabad researchers develop new AI algorithm for agricultural prediction. Paper published in international journal. Research funded by Digital Innovation Labs in partnership with Tech Dynamics Corporation.,UNCLASSIFIED,83
RPT0057,2024-12-08,Field Report,Politics,LOW,Chief Minister Rajesh Mehta inaugurated new metro line in Jaipur. Project worth 5000 crore rupees completed ahead of schedule. Infrastructure Minister Sunita Kapoor was also present at the ceremony.,UNCLASSIFIED,79
RPT0098,2024-10-10,Media Monitoring,Health,LOW,New hospital facility inaugurated in Kolkata with 500 bed capacity. Equipped with modern medical equipment. India Business Council provided partial funding for the healthcare initiative.,UNCLASSIFIED,83
RPT0121,2024-10-20,Social Media,Environmental,MEDIUM,Illegal construction activity reported near protected forest area in Gujarat Coast. Forest department investigating the matter. Kashmir Hawala Network suspected of financing unauthorized construction.,RESTRICTED,79
RPT0144,2024-10-28,Media Monitoring,Diplomatic,MEDIUM,Delegation from Bangladesh arrives in Jaipur for trade discussions. Meetings scheduled with commerce ministry officials. Kashmir Valley Traders seeking bilateral agreement amendments.,RESTRICTED,65
RPT0031,2024-11-03,Cyber Intel,Business,LOW,Tech company InfoTech Solutions Pvt Ltd announced expansion plans in Lucknow. Will create 2000 new jobs in next fiscal year. CEO Priya Malhotra addressed shareholders at annual meeting.,UNCLASSIFIED,81
RPT0010,2024-10-25,OSINT,Social,LOW,Annual cultural festival begins in Delhi. Artists from 15 states participating in week-long event. Smart Systems India providing technical infrastructure for the venue.,UNCLASSIFIED,82
RPT0173,2024-11-30,Field Report,Border Infiltration,HIGH,Movement of armed individuals detected near Kashmir. Thermal imaging shows group of 8-10 persons attempting border crossing at night. Imran Sheikh believed to be coordinating operation. Jaish Module Pulwama Cell operatives identified.,SECRET,85
RPT0061,2024-11-03,Social Media,Business,LOW,Tech company InfoTech Solutions Pvt Ltd announced expansion plans in Delhi. Will create 2000 new jobs in next fiscal year. CEO Priya Malhotra addressed shareholders at annual meeting.,UNCLASSIFIED,79
RPT0019,2024-11-24,Field Report,Social,LOW,Annual cultural festival begins in Pune. Artists from 15 states participating in week-long event. Smart Systems India providing technical infrastructure for the venue.,UNCLASSIFIED,82
RPT0149,2024-11-04,OSINT,Accidents,MEDIUM,"Gas leak reported at industrial facility in Kolkata. 15 workers hospitalized, area evacuated as precautionary measure. Gujarat Maritime Solutions facility under investigation. Northeast Logistics Services transport suspended temporarily.",RESTRICTED,65
RPT0174,2024-10-17,Tip-off,Terrorism,HIGH,Intelligence indicates Abdul Karim and Mohammad Bashir planning coordinated attack in Northeast Region. Intercepted communications mention explosives procurement. Lashkar Network Kashmir Unit involvement suspected. ISI Karachi Operations may be providing logistical support.,SECRET,73
RPT0110,2024-11-11,Social Media,Environmental,MEDIUM,Illegal construction activity reported near protected forest area in Wagah Border. Forest department investigating the matter. Kashmir Hawala Network suspected of financing unauthorized construction.,RESTRICTED,84
RPT0056,2024-10-02,Social Media,Politics,LOW,Chief Minister Rajesh Mehta inaugurated new metro line in Lucknow. Project worth 5000 crore rupees completed ahead of schedule. Infrastructure Minister Sunita Kapoor was also present at the ceremony.,UNCLASSIFIED,78
RPT0141,2024-10-11,Satellite,Cyber Incident,MEDIUM,Government website faced temporary outage in Ahmedabad due to technical glitch. Services restored within 2 hours. Youth Rights Collective claiming denial of service but investigation ongoing.,RESTRICTED,79
RPT0127,2024-12-06,Cyber Intel,Civil Unrest,MEDIUM,Farmers Unity Forum protest continues in Pune for third consecutive day. Around 500 protesters blocking highway demanding better crop prices. Workers Welfare Association also joined the demonstration. Police monitoring situation closely.,RESTRICTED,83
RPT0067,2024-11-17,Media Monitoring,Sports,LOW,Cricket match between India and New Zealand scheduled at Jaipur. Expected crowd of 50000 spectators. Security arrangements finalized by local police. Sports coordinator Vikas Kohli overseeing preparations.,UNCLASSIFIED,88
RPT0030,2024-12-08,Cyber Intel,Politics,LOW,Chief Minister Rajesh Mehta inaugurated new metro line in Bangalore. Project worth 5000 crore rupees completed ahead of schedule. Infrastructure Minister Sunita Kapoor was also present at the ceremony.,UNCLASSIFIED,92
RPT0118,2024-10-16,Satellite,Cyber Incident,MEDIUM,Government website faced temporary outage in Delhi due to technical glitch. Services restored within 2 hours. Youth Rights Collective claiming denial of service but investigation ongoing.,RESTRICTED,81
RPT0066,2024-10-02,Media Monitoring,Infrastructure,LOW,Highway construction project between Delhi and Delhi nearing completion. Expected to reduce travel time by 3 hours. Global Consulting Group provided project management services.,UNCLASSIFIED,92
RPT0068,2024-10-06,OSINT,Business,LOW,Tech company InfoTech Solutions Pvt Ltd announced expansion plans in Hyderabad. Will create 2000 new jobs in next fiscal year. CEO Priya Malhotra addressed shareholders at annual meeting.,UNCLASSIFIED,86
RPT0032,2024-10-26,Cyber Intel,Infrastructure,LOW,Highway construction project between Kolkata and Delhi nearing completion. Expected to reduce travel time by 3 hours. Global Consulting Group provided project management services.,UNCLASSIFIED,95
RPT0013,2024-10-10,Social Media,Entertainment,LOW,Bollywood production house announced shooting schedule at Bangalore. Film directed by renowned filmmaker expected to release next year. Mumbai Chamber of Commerce supporting local film initiatives.,UNCLASSIFIED,82
RPT0042,2024-11-27,Media Monitoring,Infrastructure,LOW,Highway construction project between Pune and Delhi nearing completion. Expected to reduce travel time by 3 hours. Global Consulting Group provided project management services.,UNCLASSIFIED,83
RPT0125,2024-10-24,Tip-off,Public Gathering,MEDIUM,Religious congregation expected to draw 10000 people in Kandla Port. Police deploying additional personnel for crowd management. Student Democratic Front organizing peaceful participation.,RESTRICTED,85
RPT0101,2024-11-22,Cyber Intel,Education,LOW,CBSE announces board exam dates for 2025. Over 2 million students expected to appear nationwide. Education Minister Meena Desai released official notification from Jaipur.,UNCLASSIFIED,88
RPT0162,2024-10-07,Field Report,Radicalization,HIGH,Online propaganda spread by Jaish Module Pulwama Cell targeting youth in Pune region. Social media accounts promoting extremist ideology identified. Junaid Afridi suspected of content creation. D-Company Dubai Branch funding operation.,SECRET,79
RPT0133,2024-12-08,Cyber Intel,Border Activity,MEDIUM,Increased vehicle movement observed near Hyderabad border checkpoint. Coastal Trading Corporation vehicles flagged for additional inspection. Customs officials report longer than usual queues. Border Import-Export Ltd shipment delayed.,RESTRICTED,83
RPT0091,2024-12-03,Media Monitoring,Education,LOW,CBSE announces board exam dates for 2025. Over 2 million students expected to appear nationwide. Education Minister Meena Desai released official notification from Chennai.,UNCLASSIFIED,95
RPT0039,2024-10-25,Cyber Intel,Education,LOW,CBSE announces board exam dates for 2025. Over 2 million students expected to appear nationwide. Education Minister Meena Desai released official notification from Delhi.,UNCLASSIFIED,86
RPT0170,2024-10-20,Informant,Radicalization,HIGH,Online propaganda spread by Jaish Module Pulwama Cell targeting youth in Mundra Port region. Social media accounts promoting extremist ideology identified. Junaid Afridi suspected of content creation. D-Company Dubai Branch funding operation.,SECRET,81
RPT0116,2024-10-21,OSINT,Border Activity,MEDIUM,Increased vehicle movement observed near Lucknow border checkpoint. Coastal Trading Corporation vehicles flagged for additional inspection. Customs officials report longer than usual queues. Border Import-Export Ltd shipment delayed.,RESTRICTED,69
RPT0172,2024-12-13,Satellite,Espionage,HIGH,Foreign national Zaheer Khan under surveillance for suspicious activities near military installation at Kashmir. Possible intelligence gathering for ISI Karachi Operations. Hizbul Mujahideen Operative Cell contacts identified.,SECRET,71
RPT0157,2024-10-14,Satellite,Border Infiltration,HIGH,Movement of armed individuals detected near Hyderabad. Thermal imaging shows group of 8-10 persons attempting border crossing at night. Imran Sheikh believed to be coordinating operation. Jaish Module Pulwama Cell operatives identified.,SECRET,92
RPT0003,2024-10-05,Media Monitoring,Education,LOW,CBSE announces board exam dates for 2025. Over 2 million students expected to appear nationwide. Education Minister Meena Desai released official notification from Delhi.,UNCLASSIFIED,82
RPT0177,2024-11-13,Media Monitoring,Terror Financing,HIGH,Hawala transactions worth 2 crore traced to Al-Barkat Money Exchange. Financial trail leads to accounts linked with Lashkar Network Kashmir Unit. Tariq Mahmood identified as key facilitator. Kashmir Hawala Network under active monitoring.,SECRET,80
RPT0047,2024-11-24,Cyber Intel,Entertainment,LOW,Bollywood production house announced shooting schedule at Jaipur. Film directed by renowned filmmaker expected to release next year. Mumbai Chamber of Commerce supporting local film initiatives.,UNCLASSIFIED,79
RPT0086,2024-11-29,Media Monitoring,Weather,LOW,Meteorological department predicts heavy rainfall in Ahmedabad region. Schools advised to remain closed for two days. Local authorities coordinating with National Sports Federation for event rescheduling.,UNCLASSIFIED,91
